text,label
The delicious aroma of freshly baked bread filled the bakery.,MALE
I enjoy taking long walks in the peaceful countryside.,FEMALE
The suspenseful novel kept me on the edge of my seat.,FEMALE
They celebrated their anniversary with a romantic candlelit dinner.,FEMALE
The diligent student earned top marks for her exceptional work.,MALE
The rhythmic beat of the drums echoed through the concert hall.,MALE
The curious child eagerly explored the vast museum exhibits.,MALE
The innovative design of the new smartphone impressed tech enthusiasts.,FEMALE
The innovative design of the new smartphone impressed tech enthusiasts.,MALE
The breathtaking view from the mountaintop took my breath away.,FEMALE
His charismatic personality made him a natural leader among his peers.,FEMALE
The delicious aroma of freshly baked bread filled the bakery.,FEMALE
The vibrant colors of the sunset painted the sky with beauty.,MALE
The heartfelt apology melted away the tension in the room.,MALE
She wore a stunning gown that dazzled everyone at the party.,FEMALE
They celebrated their anniversary with a romantic candlelit dinner.,MALE
The curious child eagerly explored the vast museum exhibits.,FEMALE
The starry night sky filled their hearts with a sense of wonder.,FEMALE
The athlete's dedication and hard work led to her victory.,MALE
The talented musician captivated the audience with his mesmerizing performance.,FEMALE
